Story ID,Epic,Summary,User Story,Why,Acceptance Criteria,Requirement Ref,Phase,Priority,Owner,Target Week,Week Starting,Sprint,Days,Depends On,Status
BNPL-061,E12,Build the operator dashboard,"As a operator manager, I want today's numbers at a glance, so that I know what needs attention this morning.",I know what needs attention this morning,"1. Cards for pending bookings, confirmed today, revenue today and month-to-date volume | 2. Seven day volume and revenue trend | 3. Shortcut links to pending actions",FR-OP-001,P2,P0,C,6,2026-10-05,Sprint 3,1.0,BNPL-005,To Do
BNPL-062,E12,Build order management with no-show marking,"As a operator staff, I want to process bookings and record no-shows, so that my day's work happens in one screen.",My day's work happens in one screen,"1. Filterable list, detail view, accept, reject and bulk actions | 2. Given a booking is within its no-show window, when staff mark it, then a remark is required and the outcome matrix is applied | 3. Given the window has closed, when marking is attempted, then the action is unavailable with an explanation | 4. Internal notes are visible to operator staff only",FR-OP-002,P2,P0,C,8,2026-10-19,Sprint 4,1.5,BNPL-049,To Do
BNPL-063,E12,Build listing management screens,"As a operator staff, I want to create and edit my listings, so that I can get my inventory onto the platform.",I can get my inventory onto the platform,"1. Create, edit, publish and unpublish for both listing types | 2. Image upload with reordering | 3. Add-on and location assignment",FR-LIST-001,P2,P0,C,7,2026-10-12,Sprint 4,2.0,BNPL-034,To Do
BNPL-064,E12,Build the inventory calendar,"As a operator staff, I want to see and adjust availability by day, so that I can block a day when a vehicle goes for service.",I can block a day when a vehicle goes for service,"1. Calendar shows bookings and remaining quantity per day | 2. Dates can be blocked and daily quantity adjusted directly | 3. Given a date is beyond the generated horizon, when it renders, then it shows as not yet open rather than unavailable",FR-OP-003,P2,P0,C,7,2026-10-12,Sprint 4,1.5,BNPL-042,To Do
BNPL-065,E12,Build pricing rule configuration,"As a operator, I want to set up seasonal and weekend pricing visually, so that I do not need a developer to change my rates.",I do not need a developer to change my rates,"1. Base price, weekend, holiday and seasonal rules can be created and edited | 2. Given a date range is selected, when preview runs, then the resulting daily prices are displayed | 3. Rules can be applied to several listings at once",FR-OP-004,P2,P1,C,8,2026-10-19,Sprint 4,1.0,BNPL-037,To Do
BNPL-066,E12,Build shop settings,"As a operator manager, I want to configure my trading rules, so that the platform reflects how my business actually works.",The platform reflects how my business actually works,"1. Payment deadline, deposit percentage and no-show window are configurable | 2. Cancellation policy tiers can be created and edited | 3. Location library management | 4. Notification preferences",FR-OP-005,P2,P0,C,8,2026-10-19,Sprint 4,1.0,BNPL-041,To Do
BNPL-067,E13,Build the platform overview dashboard,"As a administrator, I want platform-wide health at a glance, so that I can spot a problem before an operator reports it.",I can spot a problem before an operator reports it,"1. Total bookings, revenue, active operators and registered users | 2. Seven day trends | 3. Alerts for payment failure rate, callback backlog and scheduled task failures",FR-ADM-001,P2,P0,D,5,2026-09-28,Sprint 3,1.0,BNPL-005,To Do
BNPL-068,E13,Build operator lifecycle management,"As a administrator, I want to review, approve, suspend and support operators, so that only legitimate businesses trade on the platform.",Only legitimate businesses trade on the platform,"1. Registration review queue with business licence document viewing | 2. Approve, suspend and reactivate with reason, all audit logged | 3. Given an operator is suspended, when their staff make a request, then it is refused immediately | 4. Operator staff accounts are visible and can be reset",FR-ADM-002,P2,P0,D,5,2026-09-28,Sprint 3,1.5,BNPL-021,To Do
BNPL-069,E13,Build global order control,"As a administrator, I want to intervene on a problem booking, so that a stuck booking can be resolved without database access.",A stuck booking can be resolved without database access,1. Platform-wide search and filter across operators | 2. Forced status change and forced cancellation with mandatory reason | 3. Every intervention is written to the audit log,FR-ADM-003,P2,P0,D,6,2026-10-05,Sprint 3,1.0,BNPL-047,To Do
BNPL-070,E13,Build the credit appeal review queue,"As a administrator, I want to decide customer appeals against no-show marks, so that a customer wrongly marked is not permanently penalised.",A customer wrongly marked is not permanently penalised,"1. Queue shows the disputed event, related booking, operator remark and customer statement | 2. Given an appeal is upheld, when it is saved, then a reversing event is written and the tier recomputed | 3. Given an appeal is rejected, when it is saved, then the decision and reason are recorded | 4. Both outcomes write to the audit log",FR-ADM-004,P2,P0,D,7,2026-10-12,Sprint 4,1.0,BNPL-032,To Do
BNPL-071,E13,Build promotion management,"As a marketing owner, I want to create campaigns and see how they performed, so that we can run promotions without engineering help.",We can run promotions without engineering help,"1. Codes with type, value, minimum spend, validity window and usage limits | 2. Platform or operator funding is selected explicitly | 3. Given a platform-funded discount exceeds the commission, when saving, then it is rejected unless explicitly overridden and the projected margin impact is shown | 4. Redemption and attribution reporting",FR-MKT-001 / FR-MKT-002,P2,P1,D,7,2026-10-12,Sprint 4,1.5,BNPL-050,To Do
BNPL-072,E13,Build system settings and feature flag management,"As a administrator, I want to change platform rules without a deployment, so that we can tune the platform during the pilot.",We can tune the platform during the pilot,"1. Commission rate, default payment deadline, credit tier thresholds and exposure limits are editable | 2. Feature flags can be toggled globally or per operator | 3. Every change is audit logged with before and after values",FR-ADM-005,P2,P0,D,6,2026-10-05,Sprint 3,1.0,BNPL-009,To Do
BNPL-073,E14,Add error tracking and structured logging,"As a developer, I want exceptions captured with stack traces and correlated logs, so that I can diagnose a production problem without a customer describing it.",I can diagnose a production problem without a customer describing it,"1. Sentry or equivalent captures frontend and backend exceptions | 2. Logs are structured and carry the request identifier | 3. Alert rules fire on error rate spikes | 4. Payment, booking and settlement logs are retained permanently",NFR-OBS-001 / NFR-OBS-003,P1,P0,D,2,2026-09-07,Sprint 1,1.0,BNPL-019,To Do
BNPL-074,E14,Instrument product events,"As a product owner, I want key user actions recorded as events, so that we can measure whether the pilot worked instead of guessing.",We can measure whether the pilot worked instead of guessing,"1. An analytics_events table stores event name, user, operator, booking, properties and timestamp | 2. Events emitted: search_performed, listing_viewed, booking_started, booking_created, payment_succeeded, payment_expired, booking_completed, no_show_marked, exposure_blocked, chat_escalated | 3. Credit tier is recorded on the booking_created event so tier outcomes can be compared later | 4. Emission happens through the job queue and never blocks the user request",Metrics framework,P1,P0,D,2,2026-09-07,Sprint 1,1.0,BNPL-008,To Do
BNPL-075,E14,Build the pilot metrics view,"As a product owner, I want a single admin screen showing the pilot scorecard, so that we can run a weekly review without writing SQL.",We can run a weekly review without writing SQL,"1. Shows bookings created, paid, completed, expired and no-show counts for a selected period | 2. Shows on-time payment rate and expiry rate broken down by credit tier | 3. Shows GMV, commission revenue and settled payout totals | 4. Figures can be exported as CSV for the project report",Metrics framework,P2,P0,D,6,2026-10-05,Sprint 3,1.0,BNPL-074,To Do
BNPL-076,E15,Publish terms of service and privacy policy,"As a platform, I want real legal text published before any customer registers, so that we are not collecting personal data without a lawful basis.",We are not collecting personal data without a lawful basis,"1. Privacy policy covers what is collected, why, retention and PDPA rights | 2. Terms of service cover booking, deferred payment, no-show forfeiture and cancellation | 3. Both are linked at registration and consent is recorded | 4. Reviewed by the client before publication",FR-COMP-001 / 8.3,P3,P0,Darren,6,2026-10-05,Sprint 3,1.0,BNPL-055,To Do
BNPL-077,E15,Build the operator onboarding kit and bulk listing import,"As a operator, I want to get my fleet onto the platform without hours of typing, so that the platform is worth joining.",The platform is worth joining,"1. A CSV template covering listings, base price and default daily quantity | 2. Given a valid CSV is uploaded, when it is processed, then listings and availability rows are created and a summary is shown | 3. Given a row is invalid, when import runs, then that row is reported with the reason and the rest still import | 4. A short written guide for operator staff covering listing, pricing and order handling",Pilot,P3,P0,Darren,7,2026-10-12,Sprint 4,1.5,BNPL-063,To Do
BNPL-078,E15,Complete Stripe live mode and operator KYC,"As a platform, I want live payment processing with connected operator accounts, so that the pilot can move real money.",The pilot can move real money,1. Platform account activated for live mode | 2. Each pilot operator completes Stripe Express onboarding and reaches payouts-enabled | 3. One live low-value end-to-end test booking is completed and settled per operator | 4. Refund tested end to end in live mode,Pilot,P3,P0,Darren,8,2026-10-19,Sprint 4,1.0,BNPL-024,To Do
BNPL-079,E15,Resolve tax and e-invoicing obligations,"As a client, I want clarity on who issues the invoice and what the platform must file, so that the pilot does not create a tax liability nobody planned for.",The pilot does not create a tax liability nobody planned for,1. Determine whether the platform or the operator is the invoicing party for a booking | 2. Confirm current Malaysian e-invoicing obligations for both parties with a qualified adviser | 3. Decide whether invoices generated by the platform satisfy those obligations for the pilot | 4. Record the decision and any required follow-up work,Pilot / 8.3,P3,P0,Darren,3,2026-09-14,Sprint 2,0.5,,To Do
BNPL-080,E15,Define the support model for the pilot,"As a pilot customer, I want someone to answer when something goes wrong, so that a failed payment does not become an abandoned customer.",A failed payment does not become an abandoned customer,"1. Named person on rota for customer and operator escalations during the pilot | 2. Response target agreed with the client and communicated to operators | 3. Escalation path for payment failures, disputed no-shows and settlement queries | 4. A short runbook covering the five most likely failures",Pilot,P3,P0,Darren,6,2026-10-05,Sprint 3,0.5,,To Do
BNPL-081,E15,Recruit and train pilot operators,"As a client, I want two to three operators live with real listings, so that the pilot has supply before it seeks demand.",The pilot has supply before it seeks demand,"1. Two to three operators identified, agreed and contracted with the client | 2. Each has at least five published listings with pricing and 60 days of availability | 3. Each has completed a training walkthrough of order handling and no-show marking | 4. Each has confirmed their bank details are connected and payouts are enabled",Pilot,P3,P0,Darren,5,2026-09-28,Sprint 3,1.0,BNPL-077,To Do
BNPL-082,E15,Run the go-live checklist and cutover,"As a team lead, I want a controlled production release with a rollback path, so that go-live is an event we planned rather than survived.",Go-live is an event we planned rather than survived,"1. Migration executed within the rehearsed window | 2. Smoke test covering registration, search, booking, payment, settlement and refund | 3. Monitoring and alerting confirmed active | 4. The frozen Vercel deployment remains available as a fallback until acceptance is signed off",9.3 / 11.3,P3,P0,A,8,2026-10-19,Sprint 4,1.0,BNPL-012,To Do
BNPL-083,E16,Enable review submission and operator replies,"As a customer, I want to review a trip I completed, so that other customers can trust an operator they have not used.",Other customers can trust an operator they have not used,"1. Only bookings in completed status can be reviewed, one review each | 2. Operators can reply once per review | 3. Enabling the display flag surfaces ratings on detail pages and rating sort in search",FR-TRUST-001,P4,P1,B,9,2026-10-26,Sprint 5,3.0,BNPL-058,To Do
BNPL-084,E16,Add favourites and price drop alerts,"As a customer, I want to save listings and be told when they get cheaper, so that I can wait for a better price instead of forgetting the listing.",I can wait for a better price instead of forgetting the listing,"1. Listings can be saved and appear in the personal centre | 2. Given a saved listing's price falls, when the check runs, then the customer is notified once",FR-GRW-001,P4,P2,B,10,2026-11-02,Sprint 5,3.0,BNPL-060,To Do
BNPL-085,E16,Build the mobile application,"As a customer, I want to book from my phone, so that I can book while travelling without a laptop.",I can book while travelling without a laptop,"1. Home, search, detail, booking, payment, my bookings and push notifications | 2. Receipt photo upload for DuitNow | 3. Built against the /v1 API with no mobile-specific backend",FR-CHAN-001,P4,P2,D,9,2026-10-26,Sprint 5,10.0,BNPL-060,To Do
BNPL-086,E16,Integrate WhatsApp booking,"As a customer, I want to book through WhatsApp, so that I can use the channel I already have open.",I can use the channel I already have open,"1. Signature verified on every inbound webhook | 2. Given an unverified phone number, when it is used, then only browse, create and pay for that session are permitted | 3. Given a customer verifies via one-time code, when verification completes, then the identity is linked and marked verified | 4. Status updates and payment links are delivered through approved templates",FR-CHAN-002 / FR-ARCH-005,P4,P2,D,10,2026-11-02,Sprint 5,5.0,BNPL-085,To Do
BNPL-087,E16,Deliver SARIMA pricing suggestions,"As a operator, I want suggestions on when to raise or lower prices, so that I can price to demand without studying the data myself.",I can price to demand without studying the data myself,"1. Forecast runs against real booking history | 2. Given an operator has fewer bookings than the minimum threshold, when the dashboard loads, then the module shows as awaiting data | 3. Suggestions are advisory and never change a price automatically",FR-OP-007,P4,P2,C,10,2026-11-02,Sprint 5,4.0,BNPL-075,To Do
BNPL-088,E16,Build content operations management,"As a marketing owner, I want to manage the carousel, featured placements and announcements, so that we can promote campaigns without a deployment.",We can promote campaigns without a deployment,1. Carousel images and links are manageable | 2. Featured listing placements are configurable | 3. Announcements can be published with a validity window,FR-MKT-003,P4,P2,D,9,2026-10-26,Sprint 5,2.0,BNPL-067,To Do
